Dataset,Group,Augmentation_Method,Forecasting_Model,Training_Mode,MASE,Train_Size,Test_Size,Status
Tourism,Monthly,Grasynda_Vis_Natural,MLP,Train+Real,1.175468343,209618,4380,Success
Tourism,Monthly,Grasynda_Vis_Natural,MLP,TSTR,1.234357515,104809,4380,Success
Tourism,Monthly,Grasynda_Vis_Natural,KAN,Train+Real,1.192971187,209618,4380,Success
Tourism,Monthly,Grasynda_Vis_Natural,KAN,TSTR,1.211257335,104809,4380,Success
Tourism,Monthly,SeasonalMBB,NHITS,Train+Real,1.178678333,209618,4380,Success
Tourism,Monthly,SeasonalMBB,NHITS,TSTR,1.207820836,104809,4380,Success
Tourism,Monthly,SeasonalMBB,MLP,Train+Real,1.186307336,209618,4380,Success
Tourism,Monthly,SeasonalMBB,MLP,TSTR,1.203897778,104809,4380,Success
Tourism,Monthly,SeasonalMBB,KAN,Train+Real,1.208846101,209618,4380,Success
Tourism,Monthly,SeasonalMBB,KAN,TSTR,1.224530449,104809,4380,Success
Tourism,Monthly,Jittering,NHITS,Train+Real,1.192949675,209618,4380,Success
Tourism,Monthly,Jittering,NHITS,TSTR,1.201071425,104809,4380,Success
Tourism,Monthly,Jittering,MLP,Train+Real,1.205712209,209618,4380,Success
Tourism,Monthly,Jittering,MLP,TSTR,1.188178612,104809,4380,Success
Tourism,Monthly,Jittering,KAN,Train+Real,1.221874534,209618,4380,Success
Tourism,Monthly,Jittering,KAN,TSTR,1.221407489,104809,4380,Success
Tourism,Monthly,Scaling,NHITS,Train+Real,1.213852837,209618,4380,Success
Tourism,Monthly,Scaling,NHITS,TSTR,1.214227369,104809,4380,Success
Tourism,Monthly,Scaling,MLP,Train+Real,1.208906912,209618,4380,Success
Tourism,Monthly,Scaling,MLP,TSTR,1.232403788,104809,4380,Success
Tourism,Monthly,Scaling,KAN,Train+Real,1.230319778,209618,4380,Success
Tourism,Monthly,Scaling,KAN,TSTR,1.231342173,104809,4380,Success
Tourism,Monthly,TimeWarping,NHITS,Train+Real,1.22892899,209618,4380,Success
Tourism,Monthly,TimeWarping,NHITS,TSTR,2.311569873,104809,4380,Success
Tourism,Monthly,TimeWarping,MLP,Train+Real,1.253138241,209618,4380,Success
Tourism,Monthly,TimeWarping,MLP,TSTR,2.332366613,104809,4380,Success
Tourism,Monthly,TimeWarping,KAN,Train+Real,1.254869388,209618,4380,Success
Tourism,Monthly,TimeWarping,KAN,TSTR,2.352929118,104809,4380,Success
Tourism,Monthly,MagnitudeWarping,NHITS,Train+Real,1.19892614,209618,4380,Success
Tourism,Monthly,MagnitudeWarping,NHITS,TSTR,1.201860546,104809,4380,Success
Tourism,Monthly,MagnitudeWarping,MLP,Train+Real,1.200653941,209618,4380,Success
Tourism,Monthly,MagnitudeWarping,MLP,TSTR,1.204726225,104809,4380,Success
Tourism,Monthly,MagnitudeWarping,KAN,Train+Real,1.223781427,209618,4380,Success
Tourism,Monthly,MagnitudeWarping,KAN,TSTR,1.227974477,104809,4380,Success
Tourism,Monthly,TSMixup,NHITS,Train+Real,1.173440246,179047,4380,Success
Tourism,Monthly,TSMixup,NHITS,TSTR,1.21191621,74238,4380,Success
Tourism,Monthly,TSMixup,MLP,Train+Real,1.170422785,179047,4380,Success
Tourism,Monthly,TSMixup,MLP,TSTR,1.234519878,74238,4380,Success
Tourism,Monthly,TSMixup,KAN,Train+Real,1.206067162,179047,4380,Success
Tourism,Monthly,TSMixup,KAN,TSTR,1.26871775,74238,4380,Success
Tourism,Monthly,DBA,NHITS,Train+Real,1.190210574,219140,4380,Success
Tourism,Monthly,DBA,NHITS,TSTR,1.209265555,114331,4380,Success
Tourism,Monthly,DBA,MLP,Train+Real,1.190929049,219140,4380,Success
Tourism,Monthly,DBA,MLP,TSTR,1.340374929,114331,4380,Success
Tourism,Monthly,DBA,KAN,Train+Real,1.195159751,219140,4380,Success
Tourism,Monthly,DBA,KAN,TSTR,1.226454009,114331,4380,Success
Tourism,Quarterly,Grasynda_Uniform,NHITS,Train+Real,1.560223709,78212,3408,Success
Tourism,Quarterly,Grasynda_Uniform,NHITS,TSTR,1.534786212,39106,3408,Success
Tourism,Quarterly,Grasynda_Uniform,MLP,Train+Real,1.53231051,78212,3408,Success
Tourism,Quarterly,Grasynda_Uniform,MLP,TSTR,1.515425591,39106,3408,Success
Tourism,Quarterly,Grasynda_Uniform,KAN,Train+Real,1.550036503,78212,3408,Success
Tourism,Quarterly,Grasynda_Uniform,KAN,TSTR,1.536966892,39106,3408,Success
Tourism,Quarterly,Grasynda_Vis_Horizontal,NHITS,Train+Real,1.581719603,78212,3408,Success
Tourism,Quarterly,Grasynda_Vis_Horizontal,NHITS,TSTR,1.587261085,39106,3408,Success
Tourism,Quarterly,Grasynda_Vis_Horizontal,MLP,Train+Real,1.615742719,78212,3408,Success
